Firms,NWP (£m),NWP (£m) .1,NWP (£m) .2,NWP (£m) .3,NWP (£m) .4,SCR coverage ratio,SCR coverage ratio.1,SCR coverage ratio.2,SCR coverage ratio.3,SCR coverage ratio.4,GWP (£m),GWP (£m).1,GWP (£m).2,GWP (£m).3,GWP (£m).4,Gross claims incurred (£m),Gross claims incurred (£m).1,Gross claims incurred (£m).2,Gross claims incurred (£m).3,Gross claims incurred (£m).4,Net combined ratio,Net combined ratio.1,Net combined ratio.2,Net combined ratio.3,Net combined ratio.4,avg_NWP,avg_GWP,avg_SCR_coverage_ratio,avg_Gross_claims_incurred,avg_Net_combined_ratio
Firm 2,9.244369313189408,0.09877074830183145,40.812426476455855,35.643070866752666,13.626145148362589,5.648647051862941,3.683320997264215,10.23950738231817,5.792779750962441,3.1706821860317156,41.794374771369505,6.185296467199545,11.578801427359755,3.891800631616199,16.723242209535766,44.46786547748218,29.489599041384793,34.100482155607686,0.0,0.0,1.2762961695141901,2.1760708684317653,0.6873162160528358,0.0,0.0,19.884956510612472,16.034703101416152,5.706987473687897,21.611589334894934,0.8279366507997583
Firm 3,0.0,0.8061303680871948,36.62019900755589,86.6300177587044,54.74418007968672,1.1354978298472036,1.7137627458645972,1.2227812097697366,1.3483116636336157,0.2452828567268876,0.0,68.1051502952764,138.08331610251574,148.586347148166,38.119418231428924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.76010544280684,78.57884635547741,1.1331272611684082,0.0,0.0
Firm 4,19677.45335334369,41072.81615551643,20885.50644457689,14719.67291443594,49204.46513615872,0.679157824749635,1.2248344476876403,2.699101788179343,2.0252063480681985,1.1958290318141402,43375.806960310176,23689.616366977127,68276.76399735965,41081.45344852722,37761.88332103191,14.34093849912894,71.06244714238561,87.9124713237458,42.280401637337754,3.668493703107413,0.6724811477198254,1.9869523098314188,1.8415283383643815,3.8172209112193274,-3.5487314600183835,29111.982800806338,42837.104818841224,1.5648258880997914,43.852950461141106,0.9538902494233137
Firm 5,128.8122075540615,10.407370936655743,79.57966325390584,79.42362322335269,61.72729473804931,1.4634994403047867,4.963117715739771,3.232800383391596,4.342353046406342,1.618599724318172,80.18391635939476,55.798335634099736,55.46511286236725,18.00065242257914,32.277534869186994,48.73860600477963,425.7488693439914,691.3796685086007,174.1012596512121,5.927624122258505,0.5098712296259755,0.08759192156998218,2.403634704846472,1.2408763136613596,1.8696675468097796,71.99003194120502,48.345110429525576,3.1240740620321334,269.17920552616846,1.222328343302714
Firm 6,3091.3921175906476,3357.9340347512,3215.47296702192,53.2175894206748,5969.707515833444,0.04204995822714911,0.6206488165725303,1.104387134715542,2.2338223655336296,2.4979637590642176,1966.0631189349251,1199.6570697644295,4061.617189379182,7464.344111727662,4209.115926295028,125.07679228830902,457.3197221458591,364.14875519155095,257.3324523424779,268.5278731760643,0.2809693133498721,0.49660112840242177,0.7000453097771654,1.5232018813659176,0.38456364010608735,3137.5448449235773,3780.159483220245,1.2997744068226136,294.4811190288523,0.6770762546002927
Firm 7,3148.478355811857,3307.129485000403,713.8464201035655,18232.37650982477,6486.658898458129,1.6490175515826815,0.07928339194844859,1.9112325072003506,2.2965745545126657,0.1037128904567473,4169.537704096357,12689.066336204962,5814.003841907128,4224.697702034796,16183.565613808138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6377.697933839745,8616.174239610275,1.2079641791401787,0.0,0.0
Firm 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10735388701246394,-0.027761171537720484,-0.17763106321913938,0.0,0.0,0.6405408071339612,1.10621893885633,-0.9621928833220523,0.19351942837209027,0.0,0.0,0.0,0.0,-0.019607669548879183,0.19561725820806583
Firm 9,15.279748475312454,15.175538409074221,27.793658236944854,0.3543223192843499,6.464530757397718,3.486424711446342,2.4203360227248085,0.6048681087857004,3.9297994172278137,0.25721955741388536,33.268662901319274,24.4086936004898,31.896964788485416,24.276470100285096,7.422013445389735,213.49653185027373,87.5931237535367,193.0638678857374,78.94937447706832,0.0,1.5006271211481814,1.6248796606506009,1.1037107567337425,1.8564047747461434,0.0,13.013559639602722,24.254560967193864,2.13972956351971,114.62057959332324,1.2171244626557336
Firm 10,404.1160219992416,3882.087306477307,6640.433865586559,5196.618355333824,221.98651559297582,1.2492463304706627,0.6691804829843994,1.9579214179256925,1.1120324512846302,0.5987866761162269,678.2237701851045,9887.800615569791,9002.10889465722,10552.586689501439,882.4791584372625,3.671435815594944,100.89725449283647,138.3456332608447,122.9845538632637,189.69732384471436,0.7955763615714424,1.145839027865052,0.4935542740717888,1.5104252319571778,0.07472172245350553,3269.0484129979814,6200.639825670163,1.1174334717563223,111.11924025545083,0.8040233235837932
Firm 11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.834344080554196,8.314971665565619,14.13254497015688,62.05414137825499,116.19068578302279,0.31369748840900835,1.6947615569547398,1.4304295427041285,0.12391426526318969,0.9083560704434883,0.0,0.0,0.0,47.705337575510896,0.8942317847549109
